,ACF
0,7.339132504130635
1,7.271626434828798
2,7.134480350393188
3,7.339033826937087
4,6.706460577893509
5,7.339822804456219
6,7.337105387093633
7,7.338579421487414
8,7.337416612879062
9,3.933527984686214
10,7.338046634213268
11,7.272067174358506
12,7.134434487276227
13,7.338731320799722
14,5.681934740395979
15,7.133598466903564
16,7.269733634443587
17,7.134063054770308
18,7.537034560634771
19,-1.0
20,7.269208643154153
21,7.271245325817307
22,7.337377315536008
23,7.33843750645811
24,6.8525604048428725
25,6.253863080114389
26,7.133805627293718
27,7.270773522514806
28,7.271829588554927
29,7.337464174411888
30,6.8539682700391005
31,7.3376964053047695
32,5.768274275132112
33,7.064146171011977
34,6.851328277967218
35,6.409939594812401
36,7.133149906212398
37,7.3387248942666945
38,7.272630032912745
39,7.734340841965605
40,6.707543047414348
41,7.340371950897582
42,7.270608642482977
43,7.669445355268675
44,7.47202450846789
45,7.272661066916186
46,7.338686974628457
47,7.541399703165494
48,4.840733292377427
49,6.923184708408548
50,-1.0
51,7.470664679404945
52,6.175257814482323
53,7.337896512126914
54,7.136531019067453
55,7.273411520853275
56,7.339592792095112
57,7.337314648008292
58,6.850730985421315
59,7.133238927643311
60,7.27179180189329
61,2.798279539307726
62,7.1345262225154045
63,6.853052304306959
64,7.271750685869447
65,7.339186726499862
66,7.471974253955911
67,7.338314194451337
68,5.767947434825816
69,7.2715257452416555
70,7.3388135309608415
71,7.270506972505786
72,6.85315329616046
73,7.669953935170695
74,7.135757552367553
75,7.272546252713527
76,7.340475258675159
77,7.135002137465442
78,1.435034633664407
79,6.255477012251339
80,7.47078588224419
81,7.339724041847664
82,6.707385784567037
83,6.2548749687790774
84,4.840484648670116
85,7.3389308441672165
86,5.68182635038719
87,1.8041656195936833
88,7.063943911046981
89,7.134447220133617
90,7.271737763040619
91,-1.0
92,6.852920559145205
93,6.708687359516822
94,7.27281506738983
95,7.3412342015336804
96,7.340380657593328
97,6.923926970116815
98,6.92352695168934
99,7.064264811752814
100,2.800837088393753
101,6.176643982276663
102,6.925048372381708
103,6.851939010425619
104,7.271762275204049
105,5.506834655896982
106,6.484815478203658
107,5.767116551069325
108,6.708163378412054
109,-1.0
110,7.340791383271158
111,7.135376884334022
112,6.634571372653432
113,6.255895872837733
114,6.707890817616812
115,7.135855266069644
116,7.134863227321675
117,7.473349079686638
118,7.540280323547459
119,7.339112005988457
120,6.254507276165649
121,7.341254937282339
122,6.2545206311142865
123,6.176831955996549
124,5.506860297171935
125,6.485338206991133
126,7.339447217486098
127,7.1342134268845605
128,7.134370414617396
129,6.255319614371541
130,5.934892054398966
131,7.134505662772897
132,1.8029168657532229
133,7.271387740707502
134,7.138445277274441
135,6.4091212119820025
136,7.474132711721905
137,7.134741456366816
138,7.338824749515438
139,7.272766396815477
140,7.472858280130627
141,7.339240995286785
142,7.272630882508385
143,6.7091499882060415
144,-1.0
145,7.537637363120283
146,5.417485130439962
147,7.134433807980611
148,-1.0
149,7.338834611049188
150,7.271102990360193
151,-1.0
152,-1.0
153,7.271673755277846
154,5.682056904072989
155,1.804042797766927
156,7.473303360318052
157,2.8072653583811396
158,6.708106096760957
159,6.410204280166083
160,-1.0
161,-1.0
162,7.135089800113198
163,5.682484391053376
164,7.339115164005178
165,6.1765296122787685
166,-1.0
167,7.338901162860898
168,7.065846995262329
169,7.2712521384964495
170,7.064750192850414
171,4.301392041540857
172,7.271215663743967
173,-1.0
174,7.271234894605081
175,7.063575850593926
176,5.935752730251175
177,6.925422476138668
178,7.272427273587785
179,6.926500172090848
180,7.671318019681706
181,7.274824760230831
182,6.410457882948768
183,6.410773384105507
184,7.338982887377202
