,MDF_EXP
0,144.6676970633694
1,123.16715542521996
2,121.07623318385646
3,121.2863705972434
4,124.96226984606102
5,131.7632081476767
6,128.37209302325581
7,122.8469288267794
8,124.60667086217748
9,120.29161603888235
10,116.95906432748517
11,118.34690043832175
12,119.20529801324508
13,149.7120921305184
14,126.56679914399264
15,131.67938931297724
16,124.21952021031896
17,129.41544232572687
18,116.20400258231132
19,141.46494812951914
20,118.14899901542468
21,119.13016073116907
22,136.86131386861302
23,134.06735751295315
24,133.7047353760448
25,141.38972809667712
26,128.73862158647597
27,119.35585727818054
28,127.65957446808508
29,135.55992141453822
30,133.20999074930617
31,123.32789559543261
32,120.30553787396533
33,136.90295101916664
34,139.85108449336414
35,136.27386438446274
36,145.61294337274379
37,153.1449407474928
38,125.51505546751139
39,136.88212927756678
40,150.5307172724347
41,160.71428571428592
42,163.84180790960534
43,163.32916145181602
44,133.9805825242717
45,139.85108449336414
46,150.33729521361866
47,146.15134784020643
48,158.0381471389647
49,170.5378973105139
50,155.27156549520677
51,126.5175718849833
52,130.35606517803174
53,127.93572311495714
54,142.01183431952683
55,144.04609475032058
56,144.6676970633698
57,141.59292035398286
58,126.80115273775394
59,124.4649324991768
60,127.11083819465748
61,136.40856672158145
62,128.21306906162778
63,141.3760603204522
64,151.1139812721982
65,117.49347258485601
66,127.03283215710327
67,130.51702395964634
68,132.692307692308
69,128.36304700162114
70,130.47775947281704
71,137.8676470588236
72,144.3108233117491
73,134.85342019544103
74,149.8150431565976
75,146.38723803565725
76,121.69993560849944
77,127.22802704363829
78,131.21272365805387
79,127.82440284054033
80,136.32232656770822
81,125.79415501906101
82,147.88038120276235
83,129.3749999999991
84,121.73913043478235
85,120.731707317075
86,124.21580928481808
87,122.96681847755227
88,135.29595991230838
89,128.65497076023263
90,135.50815558343646
91,123.20730117340399
92,127.93572311495578
93,120.45889101338389
94,125.60679611650473
95,154.2857142857143
96,137.48854262145005
97,123.56979405034541
98,115.08951406649793
99,129.09260991581127
100,126.60550458715755
101,118.34319526627367
102,119.05511811023452
103,133.37449830194558
104,121.54340836012986
105,141.1543287327463
106,141.5929203539813
107,130.55818353831395
108,119.16583912611793
109,129.618033813399
110,127.20848056536964
111,123.59550561797678
112,129.2850146914785
113,139.40520446096667
114,128.1553398058258
115,121.39791538933297
116,132.86264441592235
117,137.90989886607562
118,124.96226984606142
119,135.93455003146744
120,125.91240875912365
121,119.69601013299585
122,128.17337461300326
123,122.25097024579622
124,129.09260991580575
125,136.76907829534304
126,130.0251256281392
127,148.36795252225664
128,123.47988774555334
129,119.60132890365237
130,131.8471337579614
131,127.07182320442107
132,121.07623318385552
133,124.84237074401086
134,125.41473125415068
135,123.73158756137407
136,125.39582013932898
137,125.331564986738
138,124.09717662508376
139,125.71428571428572
140,132.75968039336033
141,123.77210216110217
142,121.62162162162281
143,123.74999999999912
144,120.91603053435031
145,120.45889101338389
146,125.83586626139783
147,121.62162162162014
148,137.18640838361083
149,121.47239263803544
150,115.7556270096475
151,127.62022194821276
152,118.65524060645866
153,113.56466876971429
154,122.44897959183706
155,118.53803095159829
156,115.49566891241467
157,117.42777260018869
158,119.85472154963941
159,117.26384364821091
160,113.45729593444764
161,122.2977146386637
162,117.5702155453947
163,115.56982343499332
164,134.32835820895488
165,118.69436201780533
166,118.42105263158037
167,121.10091743119418
168,116.05415860734847
169,123.63409303777894
170,123.32789559543193
171,118.73350923482964
172,117.68551814318349
173,120.0
174,123.86612449171264
