,ST_EXP
0,135.0
1,112.5
2,97.5
3,127.5
4,172.5
5,97.5
6,127.5
7,97.5
8,112.5
9,157.5
10,150.0
11,157.5
12,112.5
13,150.0
14,112.5
15,187.5
16,142.5
17,127.5
18,120.0
19,142.5
20,127.5
21,157.5
22,112.5
23,120.0
24,112.5
25,187.5
26,112.5
27,142.5
28,97.5
29,142.5
30,97.5
31,135.0
32,82.5
33,157.5
34,97.5
35,142.5
36,157.5
37,112.5
38,142.5
39,142.5
40,172.5
41,142.5
42,97.5
43,210.0
44,142.5
45,157.5
46,157.5
47,127.5
48,210.0
49,127.5
50,165.0
51,105.0
52,120.0
53,105.0
54,187.5
55,135.0
56,97.5
57,142.5
58,142.5
59,127.5
60,127.5
61,112.5
62,112.5
63,127.5
64,157.5
65,157.5
66,75.0
67,150.0
68,97.5
69,187.5
70,172.5
71,97.5
72,82.5
73,187.5
74,157.5
75,135.0
76,172.5
77,97.5
78,157.5
79,142.5
80,165.0
81,97.5
82,202.5
83,127.5
84,127.5
85,135.0
86,112.5
87,112.5
88,127.5
89,127.5
90,127.5
91,142.5
92,97.5
93,127.5
94,120.0
95,97.5
96,135.0
97,142.5
98,97.5
99,112.5
100,142.5
101,97.5
102,97.5
103,120.0
104,112.5
105,157.5
106,112.5
107,157.5
108,142.5
109,142.5
110,127.5
111,82.5
112,127.5
113,172.5
114,112.5
115,112.5
116,127.5
117,135.0
118,127.5
119,127.5
120,157.5
121,157.5
122,112.5
123,127.5
124,112.5
125,97.5
126,127.5
127,142.5
128,112.5
129,112.5
130,112.5
131,112.5
132,127.5
133,142.5
134,105.0
135,112.5
136,97.5
137,105.0
138,142.5
139,112.5
140,135.0
141,127.5
142,142.5
143,120.0
144,172.5
145,97.5
146,97.5
147,135.0
148,150.0
149,112.5
150,127.5
151,142.5
152,142.5
153,97.5
154,127.5
155,142.5
156,90.0
157,112.5
158,142.5
159,142.5
160,165.0
161,142.5
162,112.5
163,112.5
164,127.5
165,127.5
166,127.5
167,142.5
168,97.5
169,142.5
170,97.5
171,82.5
172,112.5
173,172.5
174,127.5
175,112.5
176,142.5
177,82.5
178,97.5
179,97.5
180,142.5
181,127.5
182,112.5
183,82.5
184,127.5
185,127.5
186,142.5
187,157.5
188,112.5
189,127.5
190,135.0
191,150.0
192,105.0
193,187.5
194,97.5
195,142.5
196,187.5
197,150.0
198,142.5
199,157.5
200,150.0
201,232.5
202,135.0
203,157.5
204,157.5
205,172.5
206,157.5
207,157.5
208,157.5
209,127.5
210,172.5
211,127.5
212,172.5
213,112.5
214,127.5
215,82.5
216,142.5
217,142.5
218,127.5
219,127.5
220,112.5
221,127.5
222,135.0
223,105.0
224,180.0
225,127.5
226,97.5
227,127.5
228,105.0
229,142.5
230,112.5
231,97.5
232,127.5
233,157.5
234,120.0
235,127.5
236,142.5
237,142.5
238,142.5
239,90.0
240,127.5
241,142.5
242,142.5
243,127.5
244,157.5
245,112.5
246,127.5
247,157.5
248,112.5
249,142.5
250,112.5
251,127.5
252,112.5
253,157.5
254,172.5
255,150.0
256,142.5
257,142.5
258,142.5
259,127.5
260,112.5
261,112.5
262,142.5
263,127.5
264,120.0
265,120.0
266,127.5
267,127.5
268,157.5
269,150.0
270,127.5
271,142.5
272,142.5
273,127.5
274,127.5
275,142.5
276,127.5
277,127.5
278,142.5
279,135.0
280,112.5
281,127.5
282,127.5
283,127.5
284,127.5
285,127.5
286,142.5
287,112.5
288,142.5
289,120.0
290,127.5
291,135.0
292,142.5
293,112.5
294,127.5
295,112.5
296,150.0
297,112.5
298,157.5
299,142.5
300,135.0
301,157.5
302,127.5
303,112.5
304,112.5
305,142.5
306,97.5
307,112.5
308,142.5
309,127.5
310,112.5
311,157.5
312,127.5
313,157.5
314,142.5
315,150.0
316,112.5
317,127.5
318,157.5
319,112.5
320,135.0
321,142.5
322,150.0
323,112.5
324,142.5
325,97.5
326,142.5
327,112.5
328,112.5
329,127.5
330,142.5
331,112.5
332,150.0
333,112.5
334,135.0
335,172.5
336,97.5
337,142.5
338,97.5
339,150.0
340,97.5
341,120.0
342,120.0
343,112.5
344,157.5
345,135.0
346,142.5
347,127.5
348,150.0
349,127.5
350,90.0
351,97.5
352,142.5
353,112.5
354,127.5
355,97.5
356,142.5
357,112.5
358,112.5
359,112.5
360,105.0
361,157.5
362,112.5
363,150.0
364,112.5
365,127.5
366,112.5
367,142.5
368,112.5
369,142.5
370,127.5
371,142.5
372,112.5
373,112.5
374,127.5
375,112.5
376,112.5
377,142.5
378,142.5
379,112.5
380,127.5
381,112.5
382,142.5
383,112.5
384,120.0
385,97.5
386,112.5
387,127.5
388,120.0
389,135.0
390,142.5
391,150.0
392,172.5
393,187.5
394,172.5
395,120.0
396,127.5
397,165.0
398,135.0
399,127.5
400,142.5
401,150.0
402,172.5
403,97.5
404,105.0
405,127.5
406,127.5
407,127.5
408,172.5
409,150.0
410,180.0
411,127.5
412,165.0
413,165.0
414,127.5
415,142.5
416,157.5
417,150.0
418,135.0
419,157.5
420,172.5
421,120.0
422,180.0
423,135.0
424,135.0
425,150.0
426,172.5
427,157.5
428,172.5
429,142.5
430,157.5
431,157.5
432,172.5
433,127.5
434,135.0
435,127.5
436,180.0
437,127.5
438,120.0
439,127.5
440,127.5
441,157.5
442,127.5
443,157.5
444,135.0
445,135.0
446,127.5
447,157.5
448,165.0
449,150.0
450,165.0
451,165.0
452,165.0
453,142.5
454,127.5
455,127.5
456,135.0
457,127.5
458,150.0
459,142.5
460,157.5
461,142.5
462,142.5
463,172.5
464,120.0
465,127.5
466,165.0
467,142.5
468,172.5
469,127.5
470,142.5
471,135.0
472,142.5
473,135.0
474,127.5
475,135.0
476,187.5
477,150.0
478,157.5
479,135.0
480,172.5
481,150.0
482,127.5
483,135.0
484,142.5
485,157.5
486,120.0
487,135.0
488,120.0
489,180.0
490,142.5
491,172.5
492,165.0
493,172.5
494,165.0
495,142.5
496,157.5
497,127.5
498,135.0
499,127.5
500,157.5
501,120.0
502,165.0
503,150.0
504,127.5
505,120.0
506,127.5
507,142.5
508,150.0
509,120.0
510,127.5
511,127.5
512,157.5
513,165.0
514,150.0
515,127.5
516,120.0
517,142.5
518,142.5
519,187.5
520,165.0
521,172.5
522,157.5
523,150.0
524,157.5
525,172.5
526,165.0
527,165.0
528,120.0
529,172.5
530,142.5
531,172.5
532,127.5
533,120.0
534,180.0
535,172.5
536,127.5
537,142.5
538,157.5
539,120.0
540,180.0
541,150.0
542,157.5
543,127.5
544,165.0
545,150.0
546,120.0
547,165.0
548,157.5
549,172.5
550,157.5
551,142.5
552,150.0
553,165.0
554,120.0
555,172.5
556,142.5
557,120.0
